var_name;ref_name;comment
REM_BAS;-;
REM_TAU;-;
TYP_FPI;-;
ACT_DNB;-;
EXE_SPE;-;
ACH_PRI;-;
COD_UCD;-;
COE_TAU;-;
ENT_ANN;-;
ENT_MOI;-;
FAC_TOT;-;
MNT_UNI_ECA;-;
QUA_COD;-;
TOT_MNT_ECA;-;
COD_LES;-;
ETB_NUM;-;
SEJ_FIN;-;
ANN_MOI;-;
NABM_COD;-;
CCAM_COD;-;
DENT_NUM_1;-;
DENT_NUM_10;-;
DENT_NUM_11;-;
DENT_NUM_12;-;
DENT_NUM_13;-;
DENT_NUM_14;-;
DENT_NUM_15;-;
DENT_NUM_16;-;
DENT_NUM_2;-;
DENT_NUM_3;-;
DENT_NUM_4;-;
DENT_NUM_5;-;
DENT_NUM_6;-;
DENT_NUM_7;-;
DENT_NUM_8;-;
DENT_NUM_9;-;
MOD_ACT1;-;
MOD_ACT2;-;
MOD_ACT3;-;
MOD_ACT4;-;
LPP_PRI_UNI;-;
LPP_PU_DEV;-;
LPP_QUA;-;
GHM_NUM;-;
GHS_THEO;-;
ANN_IVG_PREC;-;
NBR_IVG_ANT;-;
NBR_NAIS_ANT;-;
ADM_MOIS;-;
ADM_NBR;-;
ADM_NBR_PRI;-;
DAT_ADM_ANN;-;
INI_VAL_PRS;-;
NBR_SEJ;-;
TOP_UCD_AUTO;-;
ACH_PRI_ADM;-;
ADM_ANN;-;
DAT_DELAI;-;
SEJ_NBR;-;
ADM_PRI_ADM;-;
POS_ANN;-;
POS_MOI;-;
PRS_JOU_NBR;-;
SUP_PAY_NBR;-;
ANN_PO;-;
MOI_PO;-;
PO_COD;-;
BEN_CMU;-;
BEN_CMU_CTL;-;
CAI_GES;-;
CAI_GES_CTL;-;
CAI_NUM_CTL;-;
CENT_GES;-;
CENT_GES_CTL;-;
COD_PEC_CTL;-;
CTR_TYP;-;
CTR_TYP_CTL;-;
DAT_DEB_FAC;-;
DAT_DEB_FAC_CTL;-;
DAT_FIN_FAC;-;
DAT_FIN_FAC_CTL;-;
DAT_HOS;-;
DAT_HOS_CTL;-;
DAT_PEC;-;
DAT_PEC_CTL;-;
ENT_NUM;-;
ENT_NUM_CTL;-;
EXO_TM_CTL;-;
FAC_18E;-;
FAC_18E_CTL;-;
FAC_MNT_FJ;-;
FAC_MNT_FJ_CTL;-;
FAC_MNT_TM;-;
FAC_MNT_TM_CTL;-;
FAC_NBR_VEN;-;
FAC_SEJ_AM;-;
GES_COD_CTL;-;
ID_MAM_ENF;-;
MAJ_MNT_CTL;-;
MAJ_MNT_PS;-;
NAT_ASS_CTL;-;
NAT_PJ_DT;-;
NAT_PJ_DT_CTL;-;
NBR_VEN_CTL;-;
NOE_RGM_CTL;-;
NON_FAC_AM;-;
NON_FAC_AM_CTL;-;
PA_COD;-;
PA_COD_CTL;-;
PEC_SOI_URG;-;
PEC_SOI_URG_CTL;-;
REG_PEC_ASS;-;
REG_PEC_ASS_CTL;-;
REM_BAS_CTL;-;
REM_BAS_MNT;-;
REM_TAU_CTL;-;
SEJ_FAC_CTL;-;
TOP_ECL_FLX;-;
TOP_ECL_FLX_CTL;-;
TOT_MNT_AM;-;
TOT_MNT_AM_CTL;-;
TOT_MNT_AMC;-;
TOT_MNT_AMC_CTL;-;
RAC_MNT_PAT_CTL;-;
NBR_REJET_AMO_CTL;-;
FAC_AMO_DT_CTL;-;
FAC_AMC_DT_CTL;-;
FAC_RAC_DT_CTL;-;
PAI_AMO_DT_CTL;-;
PAI_AMC_DT_CTL;-;
PAI_RAC_DT_CTL;-;
VALID_FAC_AMO_CTL;-;
VALID_FAC_AMC_CTL;-;
VALID_FAC_RAC_CTL;-;
PAYS_ASS_PAT_CTL;-;
RAC_MNT_PAT;-;
NBR_REJET_AMO;-;
FAC_AMO_DT;-;
FAC_AMC_DT;-;
FAC_RAC_DT;-;
PAI_AMO_DT;-;
PAI_AMC_DT;-;
PAI_RAC_DT;-;
VALID_FAC_AMO;-;
VALID_FAC_AMC;-;
VALID_FAC_RAC;-;
PAYS_ASS_PAT;-;
ACT_RUM_NBR;-;
AUT_TYP1_UM;-;
AUT_TYP2_UM;-;
DGN_ASS_NBR;-;
ETA_NUM_GEO;-;
IGS2_COD;-;
PAR_DUR_SEJ;-;
SUP_TYP1_NAT;-;
